id_panel,consecutivo,latitud,longitud,zona,region
P0001,1100001,5.593164,-73.374365,2,6
P0002,1100002,6.633508,-75.932739,2,7
P0003,1100003,4.645290,,1,1
P0004,1100004,4.588644,-74.175499,1,1
P0005,1100005,4.657982,-74.228663,1,1
P0006,1100006,4.702767,-74.157071,1,1
P0007,1100007,7.408631,-75.485717,2,7
P0008,1100008,,,2,7
P0009,1100009,,,1,4
P0010,1100010,10.978364,-74.785057,1,4
P0011,1100011,,-73.981520,1,1
P0012,1100012,1.527330,-77.142510,2,8
P0013,1100013,5.821385,-73.133070,2,6
P0014,1100014,,-74.414662,2,1
P0015,1100015,7.301323,-75.422026,2,7
P0016,1100016,5.651661,-73.225756,2,6
P0017,1100017,10.935177,-74.724864,1,4
P0018,1100018,6.225432,-75.486411,1,2
P0019,1100019,7.633864,-75.599480,2,7
P0020,1100020,6.784744,-75.758640,2,7
P0021,1100021,,,1,2
P0022,1100022,4.690638,-74.050063,1,1
P0023,1100023,4.377555,-74.608051,2,1
P0024,1100024,6.335444,-75.677694,1,2
P0025,1100025,6.256253,-75.494225,1,2
P0026,1100026,1.477906,-77.170439,2,8
P0027,1100027,1.953791,-77.326931,2,8
P0028,1100028,10.346505,-75.452513,1,5
P0029,1100029,3.502742,-76.531036,1,3
P0030,1100030,3.441566,-76.608994,1,3
P0031,1100031,6.295298,-75.555381,1,2
P0032,1100032,,,2,8
P0033,1100033,13.46767,-75.610623,1,2
P0034,1100034,3.556107,-76.606964,1,3
P0035,1100035,8.286253,-75.757076,2,9
P0036,1100036,,-75.560025,1,2
P0037,1100037,1.465491,-77.592096,2,8
P0038,1100038,1.718644,,2,8
P0039,1100039,3.502117,-76.517166,1,3
P0040,1100040,6.232368,-75.496772,1,2
P0041,1100041,3.472327,-76.484937,1,3
P0042,1100042,4.590411,-73.969980,1,1
P0043,1100043,6.110747,-73.725975,2,6
P0044,1100044,8.569954,-75.903115,2,9
P0045,1100045,8.243535,-75.018174,2,9
P0046,1100046,4.634504,-74.158956,1,1
P0047,1100047,11.016929,-74.859476,1,4
P0048,1100048,7.764943,-75.864809,2,9
P0049,1100049,6.295679,-75.588747,1,2
P0050,1100050,8.116965,-75.200686,2,9
P0051,1100051,4.681509,-74.249262,1,1
P0052,1100052,13.25998,-75.464734,1,5
P0053,1100053,10.419054,-75.554114,1,5
P0054,1100054,3.962959,-74.142191,2,1
P0055,1100055,6.267225,-75.680289,1,2
P0056,1100056,4.659561,-74.022636,1,1
P0057,1100057,8.086464,-75.119150,2,9
P0058,1100058,8.309329,-75.449120,2,9
P0059,1100059,4.690891,-73.977246,1,1
P0060,1100060,3.715569,-73.994923,2,1
P0061,1100061,6.145240,-75.577007,1,2
P0062,1100062,6.323809,-75.598219,1,2
P0063,1100063,,,2,9
P0064,1100064,8.562266,-75.269608,2,9
P0065,1100065,7.298210,-75.604951,2,7
P0066,1100066,4.663450,-74.174707,1,1
P0067,1100067,,,1,5
P0068,1100068,6.588274,-75.922414,2,7
P0069,1100069,8.361584,-75.655051,2,9
P0070,1100070,6.218295,75.531779,1,2
P0071,1100071,10.942530,-74.696111,1,4
P0072,1100072,8.788327,-75.509180,2,9
P0073,1100073,6.248696,-75.649759,1,2
P0074,1100074,,,2,7
P0075,1100075,3.473665,-76.516822,1,3
P0076,1100076,7.204919,-75.624122,2,7
P0077,1100077,6.290759,-75.581348,1,2
P0078,1100078,10.396695,-75.529220,1,5
P0079,1100079,8.592345,-75.130135,2,9
P0080,1100080,7.406422,-75.566985,2,7
P0081,1100081,10.956186,-74.757841,1,4
P0082,1100082,3.482297,-76.566387,1,3
P0083,1100083,1.368088,-77.319615,2,8
P0084,1100084,4.749198,-74.006243,1,1
P0085,1100085,5.679679,-72.786567,2,6
P0086,1100086,3.539260,-76.534461,1,3
P0087,1100087,4.599732,-74.022498,1,1
P0088,1100088,6.179458,-75.533601,1,2
P0089,1100089,7.434321,-75.861387,2,7
P0090,1100090,6.259418,-75.516943,1,2
P0091,1100091,3.513243,-76.535750,1,3
P0092,1100092,5.878599,-73.457170,2,6
P0093,1100093,8.050607,-76.192169,2,9
P0094,1100094,6.311941,-75.635812,1,2
P0095,1100095,"4°45'50.23""N","74°01'32.58""E",1,1
P0096,1100096,7.179548,-75.672506,2,7
P0097,1100097,8.616267,-75.534655,2,9
P0098,1100098,5.648035,-73.092021,2,6
P0099,1100099,6.651605,-75.191763,2,7
P0100,1100100,0.000000,0.000000,1,1
P0101,1100101,10.338316,-75.528491,1,5
P0102,1100102,8.750232,-75.156062,2,9
P0103,1100103,8.570164,-75.635260,2,9
P0104,1100104,4.130462,-74.821971,2,1
P0105,1100105,1.413441,-77.853998,2,8
