id_panel,consecutivo,latitud,longitud,zona,region
P0001,3160001,5.594616,-73.415786,2,6
P0002,3160002,6.634064,-75.932552,2,7
P0003,3160003,4.645230,-74.014143,1,1
P0005,3160004,4.642207,-74.218039,1,1
P0006,3160005,4.702575,-74.157722,1,1
P0007,3160006,7.408641,-75.485684,2,7
P0008,3160007,6.898770,-76.046413,2,7
P0009,3160008,10.932723,-74.726800,1,4
P0010,3160009,10.977636,-74.785321,1,4
P0011,3160010,4.580855,-73.982543,1,1
P0012,3160011,1.527153,-77.143051,2,8
P0013,3160012,5.811209,-73.164197,2,6
P0014,3160013,4.175019,-74.414832,2,1
P0015,3160014,7.300452,-75.422887,2,7
P0016,3160015,5.652025,-73.225995,2,6
P0017,3160016,10.934496,-74.724541,1,4
P0018,3160017,6.225480,-75.486785,1,2
P0019,3160018,7.634418,-75.599021,2,7
P0020,3160019,6.818118,-75.725767,2,7
P0021,3160020,6.307581,-75.682650,1,2
P0023,3160021,4.357395,-74.614952,2,1
P0024,3160022,6.336388,-75.682788,1,2
P0025,3160023,6.256141,-75.494024,1,2
P0026,3160024,1.477986,-77.169866,2,8
P0027,3160025,1.953825,-77.327242,2,8
P0028,3160026,10.327153,-75.449800,1,5
P0029,3160027,3.504344,-76.558728,1,3
P0030,3160028,3.442305,-76.608369,1,3
P0031,3160029,6.294906,-75.562218,1,2
P0032,3160030,1.424137,-77.759197,2,8
P0033,3160031,6.194906,-75.610301,1,2
P0034,3160032,,,1,3
P0035,3160033,8.285616,-75.757213,2,9
P0036,3160034,6.352396,-75.560269,1,2
P0037,3160035,1.465738,-77.591812,2,8
P0038,3160036,1.718125,-77.519325,2,8
P0039,3160037,3.502154,,1,3
P0040,3160038,6.225861,-75.492329,1,2
P0041,3160039,3.472695,-76.484937,1,3
P0042,3160040,4.539314,-73.985715,1,1
P0043,3160041,6.110742,-73.725733,2,6
P0044,3160042,,,2,9
P0045,3160043,8.327526,-75.106435,2,9
P0046,3160044,4.635373,-74.158619,1,1
P0047,3160045,11.016991,-74.858848,1,4
P0048,3160046,,,2,9
P0050,3160047,8.116959,-75.200225,2,9
P0051,3160048,4.681822,-74.249360,1,1
P0052,3160049,10.376933,-75.464247,1,5
P0053,3160050,10.418559,-75.554133,1,5
P0054,3160051,,-74.141398,2,1
P0056,3160052,4.605217,-73.976226,1,1
P0057,3160053,8.086369,-75.119322,2,9
P0058,3160054,8.309692,-75.448955,2,9
P0059,3160055,4.691231,-73.977937,1,1
P0060,3160056,"3°42'54.43""N","73°59'43.27""E",2,1
P0061,3160057,6.145308,-75.576552,1,2
P0062,3160058,6.356762,-75.590167,1,2
P0063,3160059,8.715291,-75.690190,2,9
P0064,3160060,8.562594,-75.270413,2,9
